timestamp,fx,fy,fz,tx,ty,tz
1581072657.441003797,-1.02215,7.72708,1.9444,4.37404,1.4794,0.0224614
1581072657.484287653,-1.06401,7.53759,1.6709,4.30448,1.45803,0.0307453
1581072657.491023606,-1.18656,7.48037,1.69915,4.29211,1.46395,0.029222
1581072657.497111853,-1.09685,7.35834,1.73494,4.24665,1.4443,0.0318487
1581072657.503527265,-0.880662,7.32126,1.75023,4.24116,1.42168,0.0324646
1581072657.510262752,-0.654077,7.3552,1.9002,4.26621,1.40485,0.0304503
1581072657.517015623,-0.901498,7.43061,1.7938,4.30663,1.43871,0.0244217
1581072657.523203348,-0.971347,7.48086,1.84839,4.31653,1.44522,0.0215244
1581072657.530416525,-1.10203,7.45157,2.03506,4.29592,1.45126,0.0205868
1581072657.537070607,-1.04486,7.44369,2.36728,4.29718,1.44043,0.0187084
1581072657.543312323,-1.06488,7.53923,2.39951,4.3516,1.45203,0.0125961
1581072657.550083130,-1.13708,7.72044,2.01394,4.43232,1.47586,0.00510236
1581072657.592616496,-1.15035,7.83393,1.71504,4.46068,1.479,0.0035786
1581072657.599348644,-1.10759,7.68435,2.07427,4.39742,1.43707,0.0158805
1581072657.606135108,-0.799422,7.64925,2.17638,4.39759,1.40711,0.0194179
1581072657.612413885,-0.52527,7.64016,2.21459,4.40306,1.38133,0.0213457
1581072657.619129628,-0.768414,7.8312,2.17943,4.47489,1.41964,0.0158774
1581072657.625219630,-1.06776,7.82373,1.94775,4.45462,1.4435,0.0181743
1581072657.666191222,-0.967578,7.96356,1.53798,4.50296,1.42606,0.0199147
1581072657.672363513,-0.819055,8.01385,1.78319,4.51662,1.40933,0.0198277
1581072657.679049561,-0.918344,8.0021,1.97512,4.51013,1.41198,0.0190047
1581072657.685257448,-1.03358,8.06055,2.06999,4.535,1.42457,0.0157344
1581072657.691491115,-1.12371,8.0028,2.00262,4.51337,1.42602,0.0166806
1581072657.698054525,-1.16168,7.97421,1.95883,4.49687,1.42223,0.0177243
1581072657.741420731,-0.996366,7.49182,1.8615,4.36649,1.36865,0.0303399
1581072657.748075230,-1.01101,7.54324,1.83602,4.40753,1.37811,0.0264248
1581072657.754413261,-1.14209,7.7136,1.75219,4.46729,1.4022,0.0214825
1581072657.760453160,-0.986018,7.8196,1.8694,4.47635,1.3831,0.0229394
1581072657.767192895,-0.810376,7.93513,1.85693,4.49837,1.36835,0.0228845
1581072657.773530665,-0.987074,8.05106,1.80126,4.52684,1.39055,0.0200136
1581072657.780211431,-0.994057,8.0722,2.01571,4.53554,1.39265,0.0184654
1581072657.786951540,-1.16442,8.18726,1.97681,4.59212,1.42173,0.0118536
1581072657.793165703,-1.16354,8.16234,2.11452,4.58635,1.41821,0.0109642
1581072657.799379754,-1.09752,8.07229,2.37247,4.55169,1.40215,0.0123571
1581072657.806114897,-1.11249,8.08858,2.14597,4.57052,1.40962,0.00916115
1581072657.849415553,-0.983696,8.10551,1.94279,4.59004,1.40253,0.00688907
1581072657.855096652,-1.11899,8.08757,2.0406,4.63965,1.42477,-0.0100525
1581072657.861277732,-1.14696,8.19221,1.98857,4.66471,1.43119,-0.011968
1581072657.868105883,-0.761541,8.2884,2.12865,4.68613,1.39613,-0.0121987
1581072657.874396589,-0.704287,8.32333,2.23529,4.69099,1.39004,-0.0126489
1581072657.880409960,-1.00654,8.47931,1.97809,4.75924,1.43536,-0.019969
1581072657.887177750,-1.13996,8.48015,1.88692,4.74791,1.44592,-0.019458
1581072657.926994833,-0.820043,8.41321,1.61184,4.72115,1.40556,-0.0151044
1581072657.934479364,-0.766888,8.39651,1.84489,4.71006,1.3975,-0.0135928
1581072657.940479473,-0.871061,8.30066,1.98503,4.68465,1.40259,-0.0128392
1581072657.947280879,-0.877266,8.27769,2.08962,4.6897,1.4048,-0.0138351
1581072657.953339874,-0.989955,8.26842,1.92746,4.68831,1.41706,-0.0142763
1581072657.996821488,-1.17275,8.55486,1.77107,4.76258,1.4447,-0.0228056
1581072658.003011342,-0.921227,8.53605,1.93489,4.75303,1.41652,-0.0224673
1581072658.009097108,-0.812006,8.51437,1.94503,4.76688,1.40933,-0.0248265
1581072658.015620754,-0.723915,8.52503,1.84925,4.7853,1.40682,-0.026926
1581072658.022101998,-0.805919,8.51769,1.66496,4.79383,1.41916,-0.0282682
1581072658.029024219,-0.73287,8.45216,1.70756,4.7681,1.40772,-0.0262294
1581072658.068123628,-0.935983,8.52254,1.9922,4.79737,1.42672,-0.0280661
1581072658.074337800,-0.673285,8.54831,1.97533,4.81279,1.40269,-0.0271527
1581072658.080375932,-0.767797,8.61747,1.77287,4.84681,1.41857,-0.0290018
1581072658.087045253,-1.02574,8.70711,1.55084,4.8874,1.45064,-0.0326703
1581072658.093268440,-0.879834,8.647,1.75767,4.8514,1.42485,-0.028509
1581072658.099461554,-0.890628,8.69151,1.6792,4.86695,1.42623,-0.0290088
1581072658.145296938,-0.731618,8.86977,2.13316,4.9538,1.41886,-0.0368398
1581072658.151490946,-0.877225,8.86206,2.10014,4.95478,1.43159,-0.0385834
1581072658.158127217,-0.93553,8.88536,2.03009,4.97244,1.44012,-0.0418071
1581072658.164353858,-0.833488,8.85048,2.14708,4.96085,1.42567,-0.0418289
1581072658.171112053,-0.910385,8.85392,2.16448,4.97659,1.43457,-0.0456414
1581072658.177305915,-1.01651,8.89415,1.82174,4.99987,1.44987,-0.0488015
