timestamp,va1,va2,va3,va4,va5,va6,va7
1581223105.841652926,-0.00962353,-0.0588413,-2.97338e-05,-0.0746394,-0.0444804,-0.0149556,0.0557293
1581223105.849563242,-0.00985468,-0.0610929,7.73078e-06,-0.0768108,-0.0458544,-0.0146196,0.0609227
1581223105.855861068,-0.00915515,-0.0565276,1.89024e-05,-0.0697832,-0.0408911,-0.0140492,0.0558946
1581223105.861865038,-0.0112676,-0.0683046,6.8941e-05,-0.085265,-0.049593,-0.0177976,0.0649362
1581223105.901798572,-0.0101452,-0.0582992,-7.55755e-06,-0.0724689,-0.044775,-0.0166634,0.0560171
1581223105.907753224,-0.0101332,-0.0563358,0,-0.0711855,-0.045621,-0.0159487,0.0531071
1581223105.913732144,-0.0105496,-0.0590282,8.91543e-05,-0.072718,-0.0453128,-0.0146407,0.0572551
1581223105.920678042,-0.0108032,-0.061407,0,-0.074787,-0.0457967,-0.0104811,0.0613199
1581223105.926802324,-0.0104378,-0.0594712,0,-0.0718986,-0.0433901,-0.00958519,0.0593928
1581223105.932965464,-0.0115623,-0.0675821,-8.71554e-05,-0.0820108,-0.0484492,-0.0116591,0.0644737
1581223105.939421135,-0.00983418,-0.0575638,-1.95982e-05,-0.0724572,-0.0417762,-0.00917726,0.054642
1581223105.946694886,-0.00744189,-0.0461428,-2.36759e-05,-0.0585249,-0.0332462,-0.0068579,0.045038
1581223105.952971363,-0.010723,-0.0680997,-3.87764e-05,-0.0838836,-0.0490194,-0.00824099,0.0670332
1581223105.958852026,-0.0107093,-0.0691619,3.94037e-05,-0.0848563,-0.0511207,-0.00803933,0.0697235
1581223105.965464772,-0.00845775,-0.0534421,-0.000189966,-0.066477,-0.0399893,-0.00673001,0.0524109
1581223105.971586947,-0.00938897,-0.0579483,0,-0.0719525,-0.043942,-0.0118551,0.0555218
1581223106.012989000,-0.0103493,-0.0600867,4.06142e-05,-0.074783,-0.0440462,-0.0167909,0.0580154
1581223106.018905334,-0.0109461,-0.0596276,9.01352e-05,-0.0738485,-0.0430713,-0.0198492,0.0586462
1581223106.025313766,-0.0107559,-0.0586448,2.90186e-05,-0.0710934,-0.043101,-0.0194032,0.0565072
1581223106.031513344,-0.0101047,-0.0548632,-6.47699e-05,-0.0684009,-0.04298,-0.0167856,0.0525684
1581223106.037681767,-0.0107802,-0.0571536,-0.00010713,-0.0709916,-0.0455593,-0.0123578,0.0546509
1581223106.043850260,-0.0121973,-0.0663633,-8.78235e-05,-0.0831566,-0.0534107,-0.0115436,0.0628699
1581223106.051680488,-0.00960386,-0.053341,0.000131887,-0.0665909,-0.0415309,-0.00862641,0.0526661
1581223106.057819445,-0.0116244,-0.0670888,9.55924e-05,-0.082384,-0.0501684,-0.0100662,0.0645842
1581223106.064362609,-0.0104238,-0.0579023,-4.8445e-05,-0.0708642,-0.0434621,-0.00905783,0.0555676
1581223106.070531973,-0.0099817,-0.054042,-0.000231703,-0.0679441,-0.041165,-0.00856369,0.0515118
1581223106.110191935,-0.00170733,-0.00895664,-3.05251e-06,-0.0110992,-0.00666075,-0.00140343,0.00873674
1581223106.115882060,-0.0727348,-0.383881,2.92156e-05,-0.475878,-0.284605,-0.0614287,0.378379
1581223106.122510866,-0.010529,-0.0572061,0.000213493,-0.0704426,-0.0421239,-0.0124602,0.0584191
1581223106.128546501,-0.00963083,-0.0530148,8.14497e-05,-0.0662753,-0.0385233,-0.0138669,0.0539199
1581223106.134786014,-0.0102182,-0.0582771,-9.84381e-05,-0.0721081,-0.04218,-0.0151402,0.0551565
1581223106.141039176,-0.00995084,-0.0568151,-7.70543e-05,-0.070282,-0.041229,-0.0156632,0.0506982
1581223106.152191306,-0.0104037,-0.065026,2.72862e-05,-0.0791523,-0.0464881,-0.0174123,0.0615162
1581223106.158858070,-0.00787482,-0.0529907,1.77821e-05,-0.0657895,-0.0375432,-0.0140965,0.0524663
1581223106.164916391,-0.00842648,-0.0562439,-6.73311e-05,-0.070769,-0.0414167,-0.0160353,0.057629
1581223106.171549772,-0.00910921,-0.0620435,-3.6036e-05,-0.0762254,-0.0453677,-0.0183265,0.0587188
1581223106.177647739,-0.00820909,-0.0581453,-0.00013831,-0.0717579,-0.0438292,-0.0183544,0.0534826
1581223106.183857170,-0.00807749,-0.0577391,3.85974e-05,-0.0700724,-0.043852,-0.0184228,0.0526725
1581223106.223168989,-0.00949941,-0.0611975,5.37208e-05,-0.0744927,-0.0454007,-0.0100351,0.0571208
1581223106.229495931,-0.0116087,-0.0574701,-9.71696e-06,-0.070615,-0.041877,-0.00940172,0.0581118
1581223106.235545856,-0.0108504,-0.0534182,-0.000100798,-0.0662939,-0.0393108,-0.00933834,0.0537114
1581223106.241728242,-0.0115627,-0.0569504,-6.79159e-05,-0.068969,-0.0416414,-0.0107188,0.0538948
1581223106.249081856,-0.0129463,-0.0670375,4.99549e-05,-0.0789014,-0.0483416,-0.0119472,0.0585787
1581223106.255820059,-0.0103588,-0.0534548,8.79706e-06,-0.0633656,-0.0381951,-0.00795146,0.0486488
1581223106.261792641,-0.0113642,-0.0601746,-0.000159217,-0.0731708,-0.0424158,-0.00897592,0.0578759
1581223106.268064230,-0.013253,-0.0669643,-0.00010681,-0.0839844,-0.0486236,-0.00936936,0.0677119
1581223106.274530061,-0.0107309,-0.0538756,6.44739e-05,-0.0673053,-0.0393497,-0.00769124,0.052411
1581223106.280677912,-0.0115239,-0.0575617,8.65761e-05,-0.0697589,-0.0407549,-0.0111487,0.0526751
1581223106.286825682,-0.0117573,-0.0590012,0.000136723,-0.0716862,-0.0415919,-0.0143353,0.0530152
1581223106.326494115,-0.0123211,-0.0605642,-1.07069e-05,-0.0737998,-0.0454858,-0.0147006,0.0577076
1581223106.333255878,-0.0104046,-0.0526254,-0.000106337,-0.06451,-0.0407532,-0.0142952,0.0504895
1581223106.338678285,-0.0116252,-0.0577698,-3.96223e-05,-0.0714349,-0.0447423,-0.0169428,0.0572549
1581223106.344788725,-0.012655,-0.0664219,-1.94731e-05,-0.0822627,-0.0507683,-0.0210041,0.064834
1581223106.352630555,-0.00832091,-0.0536169,0.000160155,-0.0627386,-0.0395865,-0.0164664,0.0485984
1581223106.359680152,-0.00932421,-0.0693908,-6.81138e-05,-0.0784851,-0.0491296,-0.0139735,0.0638133
1581223106.366367270,-0.00744584,-0.0542028,-8.18249e-05,-0.0626487,-0.0392311,-0.00732765,0.0521118
1581223106.372838659,-0.00847651,-0.0633984,-0.000221615,-0.0768612,-0.0463604,-0.008061,0.0613763
1581223106.379296832,-0.00761726,-0.0584188,0.0001482,-0.0702053,-0.0433917,-0.00739991,0.0547534
1581223106.385528848,-0.00692361,-0.0541193,0.000246627,-0.0647513,-0.0399267,-0.00667699,0.0491412
1581223106.391675499,-0.00739689,-0.0594121,0.000108624,-0.069831,-0.0438797,-0.00710063,0.0524596
1581223106.431638747,-0.00894886,-0.0594373,-1.65567e-05,-0.0706756,-0.0416467,-0.00905423,0.0564448
1581223106.437735762,-0.0103324,-0.0571421,-0.00011764,-0.070886,-0.0394005,-0.00900902,0.0578871
1581223106.443833605,-0.0105244,-0.0569324,-9.65873e-06,-0.0676404,-0.0392602,-0.0109496,0.0556567
1581223106.450751781,-0.012128,-0.0676675,0.00011033,-0.0792269,-0.0455315,-0.0159557,0.0624649
